Date,ID,Coiled,Visual,Handedness,Covered,Temp(C),Hmidity
12/13/22,15,Y,Y,A,Y,28.4,65.5
12/15/22,15,Y,Y,C,Y,27.5,70
12/20/22,15,Y,Y,A,N,28.3,58.7
1/7/23,15,Y,Y,A,Y,27.4,73.7
1/10/23,15,Y,Y,A,Y,26.8,58.5
1/22/23,15,Y,Y,A,N,25.5,81.8
1/25/23,15,Y,Y,C,Y,25.4,92.4
1/30/23,15,Y,Y,A,Y,27.6,66.7
2/21/23,15,Y,Y,A,Y,32.3,50.3
2/28/23,15,Y,Y,C,Y,29.5,57.5
3/8/23,15,Y,Y,C,Y,33.5,59.2
3/14/23,15,Y,Y,A,N,24.2,61.7
3/20/23,15,Y,Y,A,Y,22.6,67.1
3/22/23,15,Y,Y,A,Y,29.7,60.1
3/28/23,15,Y,Y,A,Y,28.8,62.7
4/1/23,15,Y,Y,C,Y,33,59.8
4/5/23,15,Y,Y,C,N,29.8,52.5
4/11/23,15,Y,Y,C,N,25.8,73.4
4/19/23,15,Y,Y,A,Y,28.1,64.6
4/25/23,15,Y,Y,A,Y,27.8,69.2
5/11/23,15,Y,Y,C,N,35.6,52.4
5/22/23,15,Y,Y,A,N,30.6,59.1
5/26/23,15,Y,Y,A,Y,33.4,63.9
5/31/23,15,Y,Y,A,Y,30,73.8
6/5/23,15,Y,Y,C,Y,29.5,73.2
6/12/23,15,Y,Y,A,Y,35.1,64.9
6/16/23,15,Y,Y,A,Y,33.6,70.9
6/20/23,15,Y,Y,C,Y,30.7,93.7
7/3/23,15,Y,Y,A,Y,32.3,77.7
7/17/23,15,Y,Y,C,Y,29.5,79
7/24/23,15,Y,Y,C,Y,36.4,74.7
7/31/23,15,Y,Y,A,Y,36.5,68.8
8/7/23,15,Y,Y,C,Y,34.6,68.3
8/11/23,15,Y,Y,C,Y,33.9,67.6
8/29/23,15,Y,Y,C,N,32.7,80.8
9/1/23,15,Y,Y,C,Y,36.7,66.9
7/27/22,16,Y,Y,A,Y,28.7,96.9
8/3/22,16,Y,Y,A,N,27.6,82.2
8/7/22,16,Y,Y,C,Y,34.5,70.2
8/22/22,16,Y,Y,C,Y,36.3,76.4
8/29/22,16,Y,Y,A,Y,33.5,77.8
9/6/22,16,Y,Y,A,N,30.7,91.5
9/24/22,16,Y,Y,C,Y,26.7,92.4
10/20/22,16,Y,Y,C,N,19.3,79.2
10/23/22,16,Y,Y,C,N,27.2,84.8
11/5/22,16,Y,Y,A,N,29.8,65.6
11/11/22,16,Y,Y,A,N,28.9,79.1
11/15/22,16,Y,Y,A,Y,28.5,77.5
12/3/22,16,Y,Y,A,N,28.3,62.2
12/8/22,16,Y,Y,C,N,24.8,70.1
12/15/22,16,Y,Y,A,Y,27.9,76.5
7/27/22,17,Y,Y,C,N,31.2,87.6
7/30/22,17,Y,Y,A,Y,37.5,57.9
8/3/22,17,Y,Y,A,N,30.9,84.9
8/7/22,17,Y,Y,A,Y,33.2,69.4
8/11/22,17,Y,Y,C,Y,33.1,73.5
8/13/22,17,Y,Y,C,Y,33.7,73.9
8/22/22,17,Y,Y,A,Y,33.4,75.6
8/25/22,17,Y,Y,C,Y,28.9,99.9
9/1/22,17,Y,Y,C,Y,31.8,81.1
9/4/22,17,Y,Y,C,Y,31.5,80.8
9/8/22,17,Y,Y,C,Y,30.1,90.2
9/12/22,17,Y,Y,C,Y,29.3,87
9/19/22,17,Y,Y,A,Y,36.4,73.6
9/22/22,17,Y,Y,A,N,29.9,87.6
9/26/22,17,Y,Y,C,Y,30.1,88.6
9/29/22,17,Y,Y,A,Y,30.1,65.2
10/5/22,17,Y,Y,C,Y,29.1,74.7
10/23/22,17,Y,Y,C,Y,31.7,64.4
10/25/22,17,Y,Y,C,N,29.6,65.2
11/2/22,17,Y,Y,C,Y,31,88.7
11/8/22,17,Y,Y,A,Y,32.7,62.7
11/28/22,17,Y,Y,A,Y,30.2,79.6
12/7/22,17,Y,Y,C,N,31.4,70.4
12/15/22,17,Y,Y,A,Y,27.4,70.1
12/20/22,17,Y,Y,C,Y,24.1,73.6
12/23/22,17,Y,Y,A,N,24.7,90.7
12/27/22,17,Y,Y,A,Y,19.2,66.2
12/29/22,17,Y,Y,A,Y,25.4,63.4
1/1/23,17,Y,Y,A,Y,30.2,73.7
1/3/23,17,Y,Y,A,Y,34.5,62.2
1/7/23,17,Y,Y,A,Y,30.9,56.6
1/9/23,17,Y,Y,A,Y,24.4,70.3
1/14/23,17,Y,Y,C,Y,19.1,62.3
1/22/23,17,Y,Y,C,Y,25,91.6
1/25/23,17,Y,Y,C,N,26.1,80.7
1/29/23,17,Y,Y,A,Y,32.7,52.9
2/1/23,17,Y,Y,C,Y,25.3,79.9
2/6/23,17,Y,Y,C,Y,28.5,63.5
2/21/23,17,Y,Y,C,Y,24.8,84.3
2/28/23,17,Y,Y,C,Y,30.8,61
3/11/23,17,Y,Y,A,Y,28.1,66.3
3/14/23,17,Y,Y,A,Y,28.7,41.7
3/20/23,17,Y,Y,A,Y,26.9,50.3
8/27/22,18,Y,Y,C,Y,32.4,79.5
9/4/22,18,Y,Y,C,Y,32.6,65.2
9/10/22,18,Y,Y,C,Y,27.5,85.3
9/12/22,18,Y,Y,C,Y,30,83.3
9/19/22,18,Y,Y,A,Y,32.5,67.8
9/22/22,18,Y,Y,A,Y,30.8,85.3
9/26/22,18,Y,Y,C,Y,30.7,84.2
9/29/22,18,Y,Y,A,Y,31.1,66.9
10/2/22,18,Y,Y,C,Y,31.7,48.7
10/11/22,18,Y,Y,A,Y,32.4,72.9
10/20/22,18,Y,Y,C,Y,22.7,69.5
9/4/22,RB1,Y,Y,C,Y,32.9,77.9
11/3/22,RB1,Y,Y,A,Y,30.2,68.6
12/23/22,RB1,Y,Y,C,N,23.1,82.4
12/27/22,RB1,Y,Y,C,N,21.3,52.5
1/21/23,RB1,Y,Y,A,Y,26.4,62
1/30/23,RB1,Y,Y,A,N,31.3,57.5
2/25/23,RB1,Y,Y,C,N,27.2,66.2
4/1/23,RB1,Y,Y,C,Y,34.4,66.6
8/16/22,RB3,Y,Y,A,Y,31,78.3
8/27/22,RB3,Y,Y,C,Y,30.3,74.3
9/1/22,RB3,Y,Y,C,Y,31.4,65.2
9/4/22,RB3,Y,Y,C,Y,31.4,70
9/13/22,RB3,Y,Y,A,Y,29.4,86.5
9/22/22,RB3,Y,Y,A,Y,30.8,78.2
10/6/22,RB3,Y,Y,C,Y,33.1,61.2
10/8/22,RB3,Y,Y,A,Y,34.7,56.3
10/13/22,RB3,Y,Y,C,N,26,87
10/18/22,RB3,Y,Y,C,N,28.4,82.6
10/22/22,RB3,Y,Y,A,N,26.8,59.4
10/30/22,RB3,Y,Y,A,Y,26.6,74.7
11/17/22,RB3,Y,Y,A,Y,24.3,71.6
11/20/22,RB3,Y,Y,A,N,23.3,75.8
12/4/22,RB3,Y,Y,A,N,29.2,52.6
12/10/22,RB3,Y,Y,A,N,29.6,58.6
12/23/22,RB3,Y,Y,A,N,25.5,82.6
1/2/23,RB3,Y,Y,C,Y,26.1,86.3
1/18/23,RB3,Y,Y,A,N,29.2,42.9
1/25/23,RB3,Y,Y,C,Y,28.9,63
1/30/23,RB3,Y,Y,C,Y,33.5,53.5
2/5/23,RB3,Y,Y,C,N,24.1,81.4
3/10/23,RB3,Y,Y,A,Y,29,48
3/14/23,RB3,Y,Y,C,Y,22.4,84.2
5/27/23,RB3,Y,Y,C,Y,30.1,62.2
6/12/23,RB3,Y,Y,A,Y,34.5,59.1
11/17/22,RB5,Y,Y,C,N,24.6,62.1
11/20/22,RB5,Y,Y,A,N,22.7,72.8
12/23/22,RB5,Y,Y,C,N,25.4,81.8
12/27/22,RB5,Y,Y,A,N,21.6,53.1
1/5/23,RB5,Y,Y,A,Y,27.8,72.7
1/16/23,RB5,Y,Y,A,Y,22.8,36.8
1/21/23,RB5,Y,Y,A,Y,27.1,63.1
2/5/23,RB5,Y,Y,A,Y,28.6,63.8
3/14/23,RB5,Y,Y,C,Y,22.8,86
3/25/23,RB5,Y,Y,A,Y,37,53.8
6/12/23,RB5,Y,Y,A,Y,36.8,73.2
12/23/22,RB6,Y,Y,A,N,27.2,81.4
1/2/23,RB6,Y,Y,C,Y,30,58.7
1/18/23,RB6,Y,Y,C,Y,27.9,49.2
2/18/23,RB6,Y,Y,C,Y,22.2,78.7
3/4/23,RB6,Y,Y,C,Y,33.9,51.7
3/10/23,RB6,Y,Y,A,Y,33,42.7
5/6/23,RB6,Y,Y,C,Y,34.2,50.2
6/12/23,RB6,Y,Y,A,Y,35.3,69.5
